total_immune_region_level,total_immune_spot_level,tissue_level_immune_class,library_id
24.591093,18.72247,Immune-low,BEME_346
7.338196,4.4209642,Immune-poor,BEME_346
45.566067,47.59977,Immune-moderate-low,BEME_346
64.28651,73.342415,Immune-moderate-high,BEME_346
15.260765,12.064788,Immune-low,BEME_346
64.28651,70.5048,Immune-moderate-high,BEME_346
1.4665425,2.0789661,Immune-poor,BEME_346
96.11404,56.823124,Immune-high,BEME_346
1.4665425,1.7357866,Immune-poor,BEME_346
54.467182,56.915592,Immune-moderate-low,BEME_346
38.69574,28.925503,Immune-low,BEME_346
38.69574,32.736904,Immune-low,BEME_346
96.11404,80.32582,Immune-high,BEME_346
96.11404,183.72833,Immune-high,BEME_346
96.11404,70.31815,Immune-high,BEME_346
64.28651,75.914276,Immune-moderate-high,BEME_346
1.4665425,1.0860958,Immune-poor,BEME_346
24.591093,31.535072,Immune-low,BEME_346
7.338196,3.6901314,Immune-poor,BEME_346
54.467182,43.633755,Immune-moderate-low,BEME_346
1.4665425,1.4524692,Immune-poor,BEME_346
96.11404,102.84169,Immune-high,BEME_346
1.4665425,0.3032878,Immune-poor,BEME_346
96.11404,103.83089,Immune-high,BEME_346
96.11404,90.68583,Immune-high,BEME_346
1.4665425,0.9256745,Immune-poor,BEME_346
96.11404,162.36957,Immune-high,BEME_346
54.467182,72.086136,Immune-moderate-low,BEME_346
15.260765,25.913675,Immune-low,BEME_346
15.260765,14.810122,Immune-low,BEME_346
96.11404,111.433754,Immune-high,BEME_346
54.467182,43.601204,Immune-moderate-low,BEME_346
1.4665425,0.9158947,Immune-poor,BEME_346
45.566067,41.301495,Immune-moderate-low,BEME_346
96.11404,84.83552,Immune-high,BEME_346
54.467182,43.379845,Immune-moderate-low,BEME_346
54.467182,49.90497,Immune-moderate-low,BEME_346
45.566067,44.23159,Immune-moderate-low,BEME_346
7.338196,4.4650044,Immune-poor,BEME_346
64.28651,70.192604,Immune-moderate-high,BEME_346
38.69574,33.42604,Immune-low,BEME_346
24.591093,26.488962,Immune-low,BEME_346
64.28651,79.3236,Immune-moderate-high,BEME_346
64.28651,71.59747,Immune-moderate-high,BEME_346
24.591093,30.771023,Immune-low,BEME_346
24.591093,21.996891,Immune-low,BEME_346
38.69574,46.07047,Immune-low,BEME_346
64.28651,56.451763,Immune-moderate-high,BEME_346
38.69574,28.858059,Immune-low,BEME_346
45.566067,40.982243,Immune-moderate-low,BEME_346
38.69574,33.551987,Immune-low,BEME_346
96.11404,77.81222,Immune-high,BEME_346
96.11404,57.41959,Immune-high,BEME_346
38.69574,52.583805,Immune-low,BEME_346
45.566067,49.39861,Immune-moderate-low,BEME_346
1.4665425,1.8169906,Immune-poor,BEME_346
54.467182,50.40088,Immune-moderate-low,BEME_346
64.28651,65.4075,Immune-moderate-high,BEME_346
38.69574,49.64988,Immune-low,BEME_346
96.11404,110.71057,Immune-high,BEME_346
96.11404,57.274265,Immune-high,BEME_346
54.467182,51.78891,Immune-moderate-low,BEME_346
54.467182,44.569973,Immune-moderate-low,BEME_346
64.28651,71.55007,Immune-moderate-high,BEME_346
15.260765,17.25801,Immune-low,BEME_346
7.338196,14.9075365,Immune-poor,BEME_346
15.260765,17.261276,Immune-low,BEME_346
54.467182,59.29467,Immune-moderate-low,BEME_346
54.467182,59.74576,Immune-moderate-low,BEME_346
93.843414,92.31611,Immune-high,BEME_346
64.28651,64.43916,Immune-moderate-high,BEME_346
7.338196,6.8024325,Immune-poor,BEME_346
64.28651,58.9056,Immune-moderate-high,BEME_346
64.28651,58.23736,Immune-moderate-high,BEME_346
45.566067,48.644173,Immune-moderate-low,BEME_346
15.260765,20.524841,Immune-low,BEME_346
1.4665425,3.1054056,Immune-poor,BEME_346
1.4665425,3.298309,Immune-poor,BEME_346
15.260765,14.729334,Immune-low,BEME_346
45.566067,42.01026,Immune-moderate-low,BEME_346
96.11404,86.9962,Immune-high,BEME_346
96.11404,76.56748,Immune-high,BEME_346
38.69574,25.457678,Immune-low,BEME_346
45.566067,45.522186,Immune-moderate-low,BEME_346
1.4665425,0.47568065,Immune-poor,BEME_346
1.4665425,1.2685049,Immune-poor,BEME_346
1.4665425,2.03471,Immune-poor,BEME_346
54.467182,59.90338,Immune-moderate-low,BEME_346
15.260765,17.58398,Immune-low,BEME_346
