ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
HLA-A,HLA-A,3.4371407,0.9986206896551724,APLP2,APLP2,1.8840419,0.965412004069176,γδ T,Mono-C,2.6605914,0.0
B2M,B2M,4.8582883,1.0,KLRD1,KLRD1,0.45728043,0.25103448275862067,NK-CD16+,γδ T,2.6577845,0.036
HLA-DRA,HLA-DRA,4.9169207,1.0,LAG3,LAG3,0.39771634,0.2993103448275862,cDC1,γδ T,2.6573186,0.0
B2M,B2M,5.0863523,1.0,CD1C,CD1C,0.22727557,0.19636363636363635,Treg,B,2.6568139,0.0
B2M,B2M,4.3668585,1.0,KLRC2,KLRC2,0.9377544,0.5911286780851999,pDC,NK-CD16-,2.6523066,0.0
HLA-DPB1,HLA-DPB1,4.34156,1.0,CD4,CD4,0.96224767,0.8656716417910447,cDC1,cDC2,2.6519039,0.0
HLA-B,HLA-B,3.0082042,0.9937629937629938,CD3D,CD3D,2.2950902,0.9675862068965517,TRM,γδ T,2.651647,0.0
VIM,VIM,3.4775865,1.0,CD44,CD44,1.8208314,0.9643947100712106,cDC1,Mono-C,2.649209,0.0
HLA-DRA,HLA-DRA,4.9169207,1.0,CD4,CD4,0.38070717,0.5849056603773585,cDC1,cDC1,2.648814,0.0
HLA-B,HLA-B,3.6747324,1.0,LILRB2,LILRB2,1.6156477,0.9946524064171123,Treg,Mono-NC,2.64519,0.0
HLA-B,HLA-B,2.9939091,0.9789196310935442,CD3D,CD3D,2.2950902,0.9675862068965517,NK-CD16-,γδ T,2.6444998,0.0
APP,APP,0.44421607,0.4923702950152594,CD74,CD74,4.8439107,1.0,Mono-C,cDC1,2.6440635,0.0
HLA-DPB1,HLA-DPB1,4.34156,1.0,CD4,CD4,0.94489896,0.8983957219251337,cDC1,Mono-NC,2.6432295,0.0
B2M,B2M,4.8582883,1.0,KIR2DL3,KIR2DL3,0.42247096,0.3012736056214317,NK-CD16+,NK-CD16-,2.6403797,0.0
B2M,B2M,4.3668585,1.0,CD1C,CD1C,0.9064605,0.6293532338308457,pDC,cDC2,2.6366596,0.0
HLA-B,HLA-B,3.3972902,1.0,CD3D,CD3D,1.8688536,0.9266943291839558,cDC1,CD4 T,2.633072,0.0
HLA-DRA,HLA-DRA,4.4318924,0.9900497512437811,CD4,CD4,0.8332289,0.6201923076923077,cDC2,Treg,2.6325607,0.0
APP,APP,0.42069536,0.5758835758835759,CD74,CD74,4.8439107,1.0,TRM,cDC1,2.632303,0.0
HLA-B,HLA-B,2.9650218,1.0,CD3D,CD3D,2.2950902,0.9675862068965517,B,γδ T,2.630056,0.0
HLA-DPA1,HLA-DPA1,4.4260187,1.0,CD4,CD4,0.8332289,0.6201923076923077,cDC1,Treg,2.629624,0.0
